"","Subject","Activity","MeasureName","mean(MeasureVal)"
"205",3,"WALKING","tBodyGyroMagStd",-0.674010290979472
"206",3,"WALKING","tBodyGyroMeanX",-0.0248490682828446
"207",3,"WALKING","tBodyGyroMeanY",-0.0743565308442815
"208",3,"WALKING","tBodyGyroMeanZ",0.0866875497119062
"209",3,"WALKING","tBodyGyroStdX",-0.699262195705865
"210",3,"WALKING","tBodyGyroStdY",-0.76302218170088
"211",3,"WALKING","tBodyGyroStdZ",-0.709483440322581
"212",3,"WALKING","tGravityAccMagMean",-0.563140802770059
"213",3,"WALKING","tGravityAccMagStd",-0.591224780306452
"214",3,"WALKING","tGravityAccMeanX",0.707814353343108
"215",3,"WALKING","tGravityAccMeanY",-0.0260590480328739
"216",3,"WALKING","tGravityAccMeanZ",0.0480937904190616
"217",3,"WALKING","tGravityAccStdX",-0.966457565630499
"218",3,"WALKING","tGravityAccStdY",-0.9445645371261
"219",3,"WALKING","tGravityAccStdZ",-0.926966278211144
"220",4,"WALKING","angletBodyAccJerkMean,gravityMean",-0.0229605642539691
"221",4,"WALKING","angletBodyAccMean,gravity",0.0138743449414948
"222",4,"WALKING","angletBodyGyroJerkMean,gravityMean",0.00551355829226804
"223",4,"WALKING","angletBodyGyroMean,gravityMean",0.0354053220360825
"224",4,"WALKING","angleX,gravityMean",-0.59471513242268
"225",4,"WALKING","angleY,gravityMean",0.00844827569072165
"226",4,"WALKING","angleZ,gravityMean",-0.117193013012371
"227",4,"WALKING","fBodyAccJerkMeanX",-0.717973724971649
"228",4,"WALKING","fBodyAccJerkMeanY",-0.684648403917526
"229",4,"WALKING","fBodyAccJerkMeanZ",-0.845383895412371
"230",4,"WALKING","fBodyAccJerkStdX",-0.710952957814433
"231",4,"WALKING","fBodyAccJerkStdY",-0.679116699128866
"232",4,"WALKING","fBodyAccJerkStdZ",-0.872348615876289
"233",4,"WALKING","fBodyAccMagMean",-0.668273665958763
"234",4,"WALKING","fBodyAccMagStd",-0.724979750463917
"235",4,"WALKING","fBodyAccMeanX",-0.698994344226804
"236",4,"WALKING","fBodyAccMeanY",-0.610966605674742
"237",4,"WALKING","fBodyAccMeanZ",-0.784964119020619
"238",4,"WALKING","fBodyAccStdX",-0.679316495457474
"239",4,"WALKING","fBodyAccStdY",-0.60587907902268
"240",4,"WALKING","fBodyAccStdZ",-0.739920171907216
"241",4,"WALKING","fBodyBodyAccJerkMagMean",-0.702045896773196
"242",4,"WALKING","fBodyBodyAccJerkMagStd",-0.723261097164948
"243",4,"WALKING","fBodyBodyGyroJerkMagMean",-0.86760194427835
"244",4,"WALKING","fBodyBodyGyroJerkMagStd",-0.884187806804124
"245",4,"WALKING","fBodyBodyGyroMagMean",-0.785172936701031
"246",4,"WALKING","fBodyBodyGyroMagStd",-0.769330760360825
"247",4,"WALKING","fBodyGyroMeanX",-0.708097003278351
"248",4,"WALKING","fBodyGyroMeanY",-0.851859241237113
"249",4,"WALKING","fBodyGyroMeanZ",-0.723913683350515
"250",4,"WALKING","fBodyGyroStdX",-0.765931837365979
"251",4,"WALKING","fBodyGyroStdY",-0.818105282886598
"252",4,"WALKING","fBodyGyroStdZ",-0.778863649278351
"253",4,"WALKING","tBodyAccJerkMagMean",-0.72234055742268
"254",4,"WALKING","tBodyAccJerkMagStd",-0.71024608685567
"255",4,"WALKING","tBodyAccJerkMeanX",0.0780162237953608
"256",4,"WALKING","tBodyAccJerkMeanY",-0.0010311298138299
"257",4,"WALKING","tBodyAccJerkMeanZ",-0.00737070069603093
"258",4,"WALKING","tBodyAccJerkStdX",-0.701066737438144
"259",4,"WALKING","tBodyAccJerkStdY",-0.670976701376289
"260",4,"WALKING","tBodyAccJerkStdZ",-0.859502524793814
"261",4,"WALKING","tBodyAccMagMean",-0.637532979814948
"262",4,"WALKING","tBodyAccMagStd",-0.670122122716495
"263",4,"WALKING","tBodyAccMeanX",0.277034464752577
"264",4,"WALKING","tBodyAccMeanY",-0.0133496817746907
"265",4,"WALKING","tBodyAccMeanZ",-0.105916135927835
"266",4,"WALKING","tBodyAccStdX",-0.68386446609433
"267",4,"WALKING","tBodyAccStdY",-0.589609330539691
"268",4,"WALKING","tBodyAccStdZ",-0.741959040257732
"269",4,"WALKING","tBodyGyroJerkMagMean",-0.849581355824742
"270",4,"WALKING","tBodyGyroJerkMagStd",-0.870579517938144
"271",4,"WALKING","tBodyGyroJerkMeanX",-0.10509869233866
"272",4,"WALKING","tBodyGyroJerkMeanY",-0.0410624426912371
"273",4,"WALKING","tBodyGyroJerkMeanZ",-0.060866534304433
"274",4,"WALKING","tBodyGyroJerkStdX",-0.778479585721649
"275",4,"WALKING","tBodyGyroJerkStdY",-0.911436316752577
"276",4,"WALKING","tBodyGyroJerkStdZ",-0.790578254329897
"277",4,"WALKING","tBodyGyroMagMean",-0.708221087886598
"278",4,"WALKING","tBodyGyroMagStd",-0.749105473365979
"279",4,"WALKING","tBodyGyroMeanX",-0.0298726752979381
"280",4,"WALKING","tBodyGyroMeanY",-0.0750086556675258
"281",4,"WALKING","tBodyGyroMeanZ",0.0956607416628866
"282",4,"WALKING","tBodyGyroStdX",-0.750915960835052
"283",4,"WALKING","tBodyGyroStdY",-0.828888294742268
"284",4,"WALKING","tBodyGyroStdZ",-0.745904225824742
"285",4,"WALKING","tGravityAccMagMean",-0.637532979814948
"286",4,"WALKING","tGravityAccMagStd",-0.670122122716495
"287",4,"WALKING","tGravityAccMeanX",0.731456509896907
"288",4,"WALKING","tGravityAccMeanY",0.072347989306416
"289",4,"WALKING","tGravityAccMeanZ",0.193993433768041
"290",4,"WALKING","tGravityAccStdX",-0.967576704329897
"291",4,"WALKING","tGravityAccStdY",-0.94170652321134
"292",4,"WALKING","tGravityAccStdZ",-0.936724233273196
"293",4,"WALKING_UPSTAIRS","angletBodyAccJerkMean,gravityMean",0.00749156429682927
"294",4,"WALKING_UPSTAIRS","angletBodyAccMean,gravity",-0.00117939477317073
"295",4,"WALKING_UPSTAIRS","angletBodyGyroJerkMean,gravityMean",0.0216580637569106
"296",4,"WALKING_UPSTAIRS","angletBodyGyroMean,gravityMean",0.0139509974878049
"297",4,"WALKING_UPSTAIRS","angleX,gravityMean",-0.547883935284553
"298",4,"WALKING_UPSTAIRS","angleY,gravityMean",-0.0967313490650406
"299",4,"WALKING_UPSTAIRS","angleZ,gravityMean",-0.0611881534160976
"300",4,"WALKING_UPSTAIRS","fBodyAccJerkMeanX",-0.548003358486179
"301",4,"WALKING_UPSTAIRS","fBodyAccJerkMeanY",-0.470861077819187
"302",4,"WALKING_UPSTAIRS","fBodyAccJerkMeanZ",-0.793248930406504
"303",4,"WALKING_UPSTAIRS","fBodyAccJerkStdX",-0.540002452644715
"304",4,"WALKING_UPSTAIRS","fBodyAccJerkStdY",-0.459377588636585
"305",4,"WALKING_UPSTAIRS","fBodyAccJerkStdZ",-0.841927060081301
"306",4,"WALKING_UPSTAIRS","fBodyAccMagMean",-0.497723469494309
"307",4,"WALKING_UPSTAIRS","fBodyAccMagStd",-0.590882542479675
"308",4,"WALKING_UPSTAIRS","fBodyAccMeanX",-0.518103409715447
"309",4,"WALKING_UPSTAIRS","fBodyAccMeanY",-0.391561268041463
"310",4,"WALKING_UPSTAIRS","fBodyAccMeanZ",-0.708346275365854
"311",4,"WALKING_UPSTAIRS","fBodyAccStdX",-0.468588371045528
"312",4,"WALKING_UPSTAIRS","fBodyAccStdY",-0.422334649479756
"313",4,"WALKING_UPSTAIRS","fBodyAccStdZ",-0.659623483821138
"314",4,"WALKING_UPSTAIRS","fBodyBodyAccJerkMagMean",-0.529301794643089
"315",4,"WALKING_UPSTAIRS","fBodyBodyAccJerkMagStd",-0.576991683357724
"316",4,"WALKING_UPSTAIRS","fBodyBodyGyroJerkMagMean",-0.793458132276423
"317",4,"WALKING_UPSTAIRS","fBodyBodyGyroJerkMagStd",-0.829831474634146
"318",4,"WALKING_UPSTAIRS","fBodyBodyGyroMagMean",-0.683314955211382
"319",4,"WALKING_UPSTAIRS","fBodyBodyGyroMagStd",-0.674631635121951
"320",4,"WALKING_UPSTAIRS","fBodyGyroMeanX",-0.537445270313821
"321",4,"WALKING_UPSTAIRS","fBodyGyroMeanY",-0.799459630325203
"322",4,"WALKING_UPSTAIRS","fBodyGyroMeanZ",-0.634729117447154
"323",4,"WALKING_UPSTAIRS","fBodyGyroStdX",-0.652062731170732
"324",4,"WALKING_UPSTAIRS","fBodyGyroStdY",-0.727336206422764
"325",4,"WALKING_UPSTAIRS","fBodyGyroStdZ",-0.748519078617886
"326",4,"WALKING_UPSTAIRS","tBodyAccJerkMagMean",-0.551665062753089
"327",4,"WALKING_UPSTAIRS","tBodyAccJerkMagStd",-0.547890232756098
"328",4,"WALKING_UPSTAIRS","tBodyAccJerkMeanX",0.080200587601626
"329",4,"WALKING_UPSTAIRS","tBodyAccJerkMeanY",0.0106812194621382
"330",4,"WALKING_UPSTAIRS","tBodyAccJerkMeanZ",-0.00737856315243902
"331",4,"WALKING_UPSTAIRS","tBodyAccJerkStdX",-0.522686832030976
"332",4,"WALKING_UPSTAIRS","tBodyAccJerkStdY",-0.446980128646341
"333",4,"WALKING_UPSTAIRS","tBodyAccJerkStdZ",-0.817881987560976
"334",4,"WALKING_UPSTAIRS","tBodyAccMagMean",-0.441789745892683
"335",4,"WALKING_UPSTAIRS","tBodyAccMagStd",-0.50629736504065
"336",4,"WALKING_UPSTAIRS","tBodyAccMeanX",0.269685855146341
"337",4,"WALKING_UPSTAIRS","tBodyAccMeanY",-0.0171085099442602
"338",4,"WALKING_UPSTAIRS","tBodyAccMeanZ",-0.110053359325203
"339",4,"WALKING_UPSTAIRS","tBodyAccStdX",-0.481157815330894
"340",4,"WALKING_UPSTAIRS","tBodyAccStdY",-0.384255322007236
"341",4,"WALKING_UPSTAIRS","tBodyAccStdZ",-0.658285719430894
"342",4,"WALKING_UPSTAIRS","tBodyGyroJerkMagMean",-0.771259192195122
"343",4,"WALKING_UPSTAIRS","tBodyGyroJerkMagStd",-0.802559941951219
"344",4,"WALKING_UPSTAIRS","tBodyGyroJerkMeanX",-0.112213469653659
"345",4,"WALKING_UPSTAIRS","tBodyGyroJerkMeanY",-0.0384344734528455
"346",4,"WALKING_UPSTAIRS","tBodyGyroJerkMeanZ",-0.0529863681443902
"347",4,"WALKING_UPSTAIRS","tBodyGyroJerkStdX",-0.637528066829268
"348",4,"WALKING_UPSTAIRS","tBodyGyroJerkStdY",-0.888412003333333
"349",4,"WALKING_UPSTAIRS","tBodyGyroJerkStdZ",-0.681795418349593
"350",4,"WALKING_UPSTAIRS","tBodyGyroMagMean",-0.574385249590244
"351",4,"WALKING_UPSTAIRS","tBodyGyroMagStd",-0.639915777398374
"352",4,"WALKING_UPSTAIRS","tBodyGyroMeanX",-0.027473566188374
"353",4,"WALKING_UPSTAIRS","tBodyGyroMeanY",-0.0845813729861789
"354",4,"WALKING_UPSTAIRS","tBodyGyroMeanZ",0.0958069867471545
"355",4,"WALKING_UPSTAIRS","tBodyGyroStdX",-0.623295736308943
"356",4,"WALKING_UPSTAIRS","tBodyGyroStdY",-0.749889456666667
"357",4,"WALKING_UPSTAIRS","tBodyGyroStdZ",-0.695570737073171
"358",4,"WALKING_UPSTAIRS","tGravityAccMagMean",-0.441789745892683
"359",4,"WALKING_UPSTAIRS","tGravityAccMagStd",-0.50629736504065
"360",4,"WALKING_UPSTAIRS","tGravityAccMeanX",0.667377493902439
"361",4,"WALKING_UPSTAIRS","tGravityAccMeanY",0.176064219895122
"362",4,"WALKING_UPSTAIRS","tGravityAccMeanZ",0.117030634772358
"363",4,"WALKING_UPSTAIRS","tGravityAccStdX",-0.954845868211382
"364",4,"WALKING_UPSTAIRS","tGravityAccStdY",-0.940959838617886
"365",4,"WALKING_UPSTAIRS","tGravityAccStdZ",-0.948783616341463
"366",5,"WALKING","angletBodyAccJerkMean,gravityMean",-0.0152166119291391
"367",5,"WALKING","angletBodyAccMean,gravity",-0.00911213827748344
"368",5,"WALKING","angletBodyGyroJerkMean,gravityMean",-0.0233952550609272
"369",5,"WALKING","angletBodyGyroMean,gravityMean",-0.00953130166963576
"370",5,"WALKING","angleX,gravityMean",-0.598120786887417
"371",5,"WALKING","angleY,gravityMean",-0.0378727910794702
"372",5,"WALKING","angleZ,gravityMean",-0.0440818730005695
"373",5,"WALKING","fBodyAccJerkMeanX",-0.604769869438742
"374",5,"WALKING","fBodyAccJerkMeanY",-0.550991969857417
"375",5,"WALKING","fBodyAccJerkMeanZ",-0.768762357980132
"376",5,"WALKING","fBodyAccJerkStdX",-0.584013626983444
"377",5,"WALKING","fBodyAccJerkStdY",-0.491500434303907
"378",5,"WALKING","fBodyAccJerkStdZ",-0.798835563807947
"379",5,"WALKING","fBodyAccMagMean",-0.528503022745033
"380",5,"WALKING","fBodyAccMagStd",-0.594259529756954
"381",5,"WALKING","fBodyAccMeanX",-0.55123770513245
"382",5,"WALKING","fBodyAccMeanY",-0.440232431795033
"383",5,"WALKING","fBodyAccMeanZ",-0.696171811490066
"384",5,"WALKING","fBodyAccStdX",-0.492829885748675
"385",5,"WALKING","fBodyAccStdY",-0.422162171100331
"386",5,"WALKING","fBodyAccStdZ",-0.649351210748344
"387",5,"WALKING","fBodyBodyAccJerkMagMean",-0.573176177044172
"388",5,"WALKING","fBodyBodyAccJerkMagStd",-0.613485123609272
"389",5,"WALKING","fBodyBodyGyroJerkMagMean",-0.748829309536424
"390",5,"WALKING","fBodyBodyGyroJerkMagStd",-0.735610602483444
"391",5,"WALKING","fBodyBodyGyroMagMean",-0.677355755703311
"392",5,"WALKING","fBodyBodyGyroMagStd",-0.715731148145695
"393",5,"WALKING","fBodyGyroMeanX",-0.632239300829801
"394",5,"WALKING","fBodyGyroMeanY",-0.71706218781457
"395",5,"WALKING","fBodyGyroMeanZ",-0.537329127293278
"396",5,"WALKING","fBodyGyroStdX",-0.73573857718543
"397",5,"WALKING","fBodyGyroStdY",-0.702290390960265
"398",5,"WALKING","fBodyGyroStdZ",-0.669353687483444
"399",5,"WALKING","tBodyAccJerkMagMean",-0.589313870006622
"400",5,"WALKING","tBodyAccJerkMagStd",-0.589031268133113
"401",5,"WALKING","tBodyAccJerkMeanX",0.0841019899622517
"402",5,"WALKING","tBodyAccJerkMeanY",0.0017656830384106
